UID	Lncbook_id	Lncbook_trans_id	transcript_id
ELH001460	HSALNG0013205	HSALNT0027892	HSALNT0027892
ELH001461	HSALNG0013206	HSALNT0027896	HSALNT0027896
ELH001461	HSALNG0013206	HSALNT0027902	HSALNT0027902
ELH001461	HSALNG0013206	HSALNT0300725	HSALNT0300725
ELH001461	HSALNG0013206	HSALNT0300726	HSALNT0300726
ELH001461	HSALNG0013206	HSALNT0300727	HSALNT0300727
ELH001461	HSALNG0013206	HSALNT0300728	HSALNT0300728
ELH001461	HSALNG0013206	HSALNT0300731	HSALNT0300731
ELH001478	HSALNG0013298	HSALNT0028126	HSALNT0028126
ELH001478	HSALNG0013298	HSALNT0300807	HSALNT0300807
ELH001478	HSALNG0013298	HSALNT0300808	HSALNT0300808
ELH001478	HSALNG0013298	HSALNT0300809	HSALNT0300809
ELH001478	HSALNG0013298	HSALNT0300810	HSALNT0300810
ELH001551	HSALNG0013707	HSALNT0029028	HSALNT0029028
ELH001551	HSALNG0013707	HSALNT0301233	HSALNT0301233
ELH001553	HSALNG0013708	HSALNT0029029	HSALNT0029029
ELH001554	HSALNG0013709	HSALNT0029030	HSALNT0029030
ELH001555	HSALNG0013710	HSALNT0029031	HSALNT0029031
ELH001556	HSALNG0013713	HSALNT0029034	HSALNT0029034
ELH001560	HSALNG0013926	HSALNT0029427	HSALNT0029427
ELH001561	HSALNG0013927	HSALNT0029428	HSALNT0029428
ELH001562	HSALNG0013928	HSALNT0029429	HSALNT0029429
ELH001563	HSALNG0013929	HSALNT0029430	HSALNT0029430
ELH001563	HSALNG0013929	HSALNT0029431	HSALNT0029431
ELH001563	HSALNG0013929	HSALNT0029432	HSALNT0029432
ELH001563	HSALNG0013929	HSALNT0029433	HSALNT0029433
ELH001563	HSALNG0013929	HSALNT0029434	HSALNT0029434
ELH001563	HSALNG0013929	HSALNT0029435	HSALNT0029435
ELH001563	HSALNG0013929	HSALNT0029436	HSALNT0029436
ELH001563	HSALNG0013929	HSALNT0029437	HSALNT0029437
ELH001563	HSALNG0013929	HSALNT0029438	HSALNT0029438
ELH001563	HSALNG0013929	HSALNT0301412	HSALNT0301412
ELH001563	HSALNG0013929	HSALNT0301413	HSALNT0301413
ELH001563	HSALNG0013929	HSALNT0301414	HSALNT0301414
ELH001563	HSALNG0013929	HSALNT0301415	HSALNT0301415
ELH001563	HSALNG0013929	HSALNT0301416	HSALNT0301416
ELH001563	HSALNG0013929	HSALNT0301417	HSALNT0301417
ELH001563	HSALNG0013929	HSALNT0301418	HSALNT0301418
ELH001563	HSALNG0013929	HSALNT0301419	HSALNT0301419
ELH001563	HSALNG0013929	HSALNT0301420	HSALNT0301420
ELH001563	HSALNG0013929	HSALNT0301421	HSALNT0301421
ELH001563	HSALNG0013929	HSALNT0301422	HSALNT0301422
ELH001563	HSALNG0013929	HSALNT0301423	HSALNT0301423
ELH001563	HSALNG0013929	HSALNT0301424	HSALNT0301424
ELH001563	HSALNG0013929	HSALNT0301425	HSALNT0301425
ELH001563	HSALNG0013929	HSALNT0301426	HSALNT0301426
ELH001563	HSALNG0013929	HSALNT0301427	HSALNT0301427
ELH001563	HSALNG0013929	HSALNT0301428	HSALNT0301428
ELH001563	HSALNG0013929	HSALNT0301429	HSALNT0301429
ELH001563	HSALNG0013929	HSALNT0301430	HSALNT0301430
ELH001563	HSALNG0013929	HSALNT0301431	HSALNT0301431
ELH001566	HSALNG0013932	HSALNT0029442	HSALNT0029442
ELH001567	HSALNG0013938	HSALNT0029450	HSALNT0029450
ELH001569	HSALNG0013944	HSALNT0029460	HSALNT0029460
ELH001569	HSALNG0013944	HSALNT0029461	HSALNT0029461
ELH001569	HSALNG0013944	HSALNT0029462	HSALNT0029462
ELH001569	HSALNG0013944	HSALNT0029463	HSALNT0029463
ELH001569	HSALNG0013944	HSALNT0029469	HSALNT0029469
ELH001569	HSALNG0013944	HSALNT0029470	HSALNT0029470
ELH001569	HSALNG0013944	HSALNT0029473	HSALNT0029473
ELH001569	HSALNG0013944	HSALNT0029475	HSALNT0029475
ELH001569	HSALNG0013944	HSALNT0029476	HSALNT0029476
ELH001569	HSALNG0013944	HSALNT0029477	HSALNT0029477
ELH001569	HSALNG0013944	HSALNT0029478	HSALNT0029478
ELH001569	HSALNG0013944	HSALNT0301434	HSALNT0301434
ELH001569	HSALNG0013944	HSALNT0301436	HSALNT0301436
ELH001569	HSALNG0013944	HSALNT0301437	HSALNT0301437
ELH001569	HSALNG0013944	HSALNT0301438	HSALNT0301438
ELH001569	HSALNG0013944	HSALNT0301439	HSALNT0301439
ELH001569	HSALNG0013944	HSALNT0301440	HSALNT0301440
ELH001569	HSALNG0013944	HSALNT0301441	HSALNT0301441
